front,back
ab,from
aber,but
anbieten,to offer
Angebot,offer
anderen,other
abgeben,to give (sth.) in / to submit (sth.) / to deliver (sth.)
anders,different
ändern,to change
abholen,pick up
abschließen,"to lock, to finish"
Achtung,Attention!
Adresse,address
anfangen,to begin
Anfang,Beginning
Angst,anxiety / fear
ankommen,arrive
Ahnung,idea
aktiv,active
aktuell,current
alles,everything
alle,all
anmachen,to turn on
Ankunft,Arrival
sich anmelden,to register / to enroll / to apply
Anmeldung,registration
Anrufbeantworter,Answering machine
anrufen,call
Anruf,Call
allein,alone
als,as
also,so
Anschluss,connection
ansehen,look at
antworten,reply
Antwort,answer
alt,old
Alter,age
Ampel,traffic light
an,at
Anzeige,display
Anzug,suit
Apfel,Apple
Apotheke,pharmacy
Apparat,device / machine
aus,out
arbeiten,work
Arbeit,job
Ausbildung,education
Ausflug,Excursion
arbeitslos,unemployed
sich ärgern,to be angry
ausfüllen,to fill (in)
arm,poor
Arm,arm
Ausgang,exit
ausgeben,to spend (sth.)
Artikel,item
ausgehen,go out
auch,too / also
auf,on
Auskunft,information desk
Ausland,foreign country
ausmachen,to turn (sth.) off
auspacken,unpacking
sich ausruhen,to rest
auf jeden Fall,definitely
auf keinen Fall,no way
aussehen,to appear / to look like (sth.)
aufhören,stop
aufmachen,open
außer,except
außerdem,beside
außerhalb,outside
aufpassen,watch out
aussprechen,pronounce
aussteigen,get out / get off
aufräumen,to clean up
aufregend,exciting
aufstehen,get up
Ausstellung,exhibition
austragen,to deliver (sth.) / to carry (sth.) out
Ausweis,ID card
Aufzug,elevator
Auge,eye
Auto,automobile
Autobahn,Highway
Automat,machine / automat / vending machine
automatisch,automatically
Baby,baby
Babysitter,baby-sitter
beenden,to end (sth.) / to finish (sth.) / to break up
beginnen,begin
begründen,justify
bei,at
backen,to bake
Bäckerei,bakery
Bad,bath
beide,both
baden,to bathe
Bahn,train
bekannt,known
Bekannte (weiblich),female friend / female acquaintance
Bekannte (männlich),male friend / male acquaintance
Bahnhof,railway station
Bahnsteig,platform
bekommen,to get
bald,soon
Balkon,balcony
beliebt,popular
Ball,ball
