front,back,,,,,,,,,,
ein,1) a; 2) one (of),,,,,,,,,,
zu,"1) to, at; 2) too / to",,,,,,,,,,
im,in the,,,,,,,,,,
auf,"on, at, in",,,,,,,,,,
nicht,not,,,,,,,,,,
werden,"to become, get",,,,,,,,,,
ich,I,,,,,,,,,,
am,"at the, on the",,,,,,,,,,
auch,"also, too",,,,,,,,,,
Sie,you (formal),,,,,,,,,,
sich,-self,,,,,,,,,,
an,"at, on",,,,,,,,,,
für,for,,,,,,,,,,
nicht nur...sondern auch,not only...but also,,,,,,,,,,
in,"in, into (i~)",,,,,,,,,,
von,"of, from",,,,,,,,,,
haben,to have,,,,,,,,,,
"der, die, das","1) the; 2) that, those / who, that",,,,,,,,,,
und,and,,,,,,,,,,
sein,to be,,,,,,,,,,
er,he,,,,,,,,,,
es,it,,,,,,,,,,
sie,she / they,,,,,,,,,,
so,"1) so, thus, this way, such; 2) so",,,,,,,,,,
mit,with,,,,,,,,,,
Ihr,your (formal),,,,,,,,,,
aus,"out, out of, from",,,,,,,,,,
noch,"still, yet",,,,,,,,,,
nach,"after, towards",,,,,,,,,,
also,so,,,,,,,,,,
nach und nach,little by little,,,,,,,,,,
ihr,"you (plural, informal) / her, their",,,,,,,,,,
was,what,,,,,,,,,,
dass,that,,,,,,,,,,
bei,"by, with, at",,,,,,,,,,
oder,or,,,,,,,,,,
ja,yes / certainly,,,,,,,,,,
dann,then,,,,,,,,,,
da,1) there; 2) because,,,,,,,,,,
sein,"his, its",,,,,,,,,,
so was,something like that,,,,,,,,,,
noch gar nicht,not at all (noch ~),,,,,,,,,,
können,"to be able to, can",,,,,,,,,,
dies,"this, that",,,,,,,,,,
als,"1) as, when; 2) than",,,,,,,,,,
nach wie vor,still (nach ~),,,,,,,,,,
wir,we,,,,,,,,,,
wie,1) how; 2) as,,,,,,,,,,
aber,but,,,,,,,,,,
man,"one, you",,,,,,,,,,
"all, alle",all,,,,,,,,,,
müssen,"to have to, must",,,,,,,,,,
nur,only,,,,,,,,,,
du,"you (familiar, singular)",,,,,,,,,,
vor allem,above all (short),,,,,,,,,,
auch nicht mehr,no more...either,,,,,,,,,,
mein,"my, mine",,,,,,,,,,
ander,other (a~),,,,,,,,,,
schon,already (s~),,,,,,,,,,
sagen,to say,,,,,,,,,,
mehr als,more than,,,,,,,,,,
mehr,more,,,,,,,,,,
vor,"in front of, before, ago",,,,,,,,,,
machen,"to do, make",,,,,,,,,,
kein,no (k~),,,,,,,,,,
wenn,"if, when",,,,,,,,,,
das Jahr,year,,,,,,,,,,
um,"around, at",,,,,,,,,,
unter anderem (u.a.),among other,,,,,,,,,,
vor sich hin,"to oneself, along",,,,,,,,,,
durch,through,,,,,,,,,,
geben,to give,,,,,,,,,,
mehr oder weniger,more or less,,,,,,,,,,
über,"above, over, about",,,,,,,,,,
um...zu,in order to,,,,,,,,,,
mal,times,,,,,,,,,,
das Mal,time (M~),,,,,,,,,,
nicht so sehr,not very,,,,,,,,,,
hier,here,,,,,,,,,,
zwei,two,,,,,,,,,,
viel,"much, a lot, many",,,,,,,,,,
gut,good,,,,,,,,,,
bis,"until, till",,,,,,,,,,
immer,always (i~),,,,,,,,,,
gehen,to go,,,,,,,,,,
jetzt,now (j~),,,,,,,,,,
wieder,again (not 'wiederum'),,,,,,,,,,
neu,new,,,,,,,,,,
groß,"big, large, great",,,,,,,,,,
wollen,to want to,,,,,,,,,,
ganz,"whole, all the",,,,,,,,,,
sehr,very,,,,,,,,,,
wissen,to know,,,,,,,,,,
kommen,to come,,,,,,,,,,
doch,"however, still (d~)",,,,,,,,,,
sollen,"should, ought to",,,,,,,,,,
das erste Mal,the first time,,,,,,,,,,
zum ersten Mal,for the first time,,,,,,,,,,
nicht so gut,not so good,,,,,,,,,,
so gut wie,virtually (so ~),,,,,,,,,,
unser,our,,,,,,,,,,
unter,under,,,,,,,,,,
erste,first,,,,,,,,,,
"lange, lang",for a long time,,,,,,,,,,
sehen,to see,,,,,,,,,,
jeder,every,,,,,,,,,,
lang,long,,,,,,,,,,
stehen,to stand,,,,,,,,,,
denn,because (d~),,,,,,,,,,
zum Beispiel (z. B.),for example (e.g.),,,,,,,,,,
in dieser Zeit,during this time,,,,,,,,,,
in letzter Zeit,lately (in ~),,,,,,,,,,
damit,1) with it; 2) so that,,,,,,,,,,
in der Zeit,in the time,,,,,,,,,,
die Zeit,time (Z~),,,,,,,,,,
weil,because (w~),,,,,,,,,,
seit langem,for a long time (seit ~),,,,,,,,,,
oben,"above, up there",,,,,,,,,,
lassen,"to let, allow, have done",,,,,,,,,,
das Beispiel,example (B~),,,,,,,,,,
mit der Zeit,over time,,,,,,,,,,
die ganze Zeit,the entire time,,,,,,,,,,
wo,where,,,,,,,,,,
"selbst, selber",1) -self; 2) even,,,,,,,,,,
eigentlich,"1) actually; 2) actual, real",,,,,,,,,,
so etwas,such a thing,,,,,,,,,,
alt,old,,,,,,,,,,
die Deutsche,German (female),,,,,,,,,,
am nächsten Tag,on the next day,,,,,,,,,,
der Deutscher,German (male),,,,,,,,,,
finden,to find,,,,,,,,,,
wenig,"1) few; 2) little, few",,,,,,,,,,
deutsch,German,,,,,,,,,,
das Deutsch,German (language),,,,,,,,,,
"nichts, nix",nothing,,,,,,,,,,
der Tag,day,,,,,,,,,,
den ganzen Tag,all day,,,,,,,,,,
zwischen,between,,,,,,,,,,
sondern,but (on the contrary),,,,,,,,,,
klein,"small, little",,,,,,,,,,
mit den Kindern,with the children,,,,,,,,,,
die Frau,"woman, wife, Mrs.",,,,,,,,,,
"nun, nu","now (n~, short form)",,,,,,,,,,
etwas,"something, some, a little",,,,,,,,,,
das Kind,child,,,,,,,,,,
der Aspekt,aspect,,,,,,,,,,
Guten Tag!,good day!,,,,,,,,,,
der Mensch,"human being, man",,,,,,,,,,
bleiben,"to stay, remain (b~)",,,,,,,,,,
drei,three,,,,,,,,,,
gegen,against,,,,,,,,,,
nein,no,,,,,,,,,,
weit,"widely, far",,,,,,,,,,
heute,today,,,,,,,,,,
hoch,"high, tall",,,,,,,,,,
welch,which,,,,,,,,,,
erst,"first, only, not until",,,,,,,,,,
einmal,once,,,,,,,,,,
nehmen,to take,,,,,,,,,,
ob,whether,,,,,,,,,,
dabei,"with it, there (d~)",,,,,,,,,,
beide,both,,,,,,,,,,
"eben, ebend",just now (e~),,,,,,,,,,
der Mann,man,,,,,,,,,,
erst mal,first time,,,,,,,,,,
heißen,to be called,,,,,,,,,,
ohne...zu,without (conj.),,,,,,,,,,
natürlich,"1) naturally, of course; 2) natural",,,,,,,,,,
ohne,without,,,,,,,,,,
einfach,"1) simple, easy; 2) simply (e~)",,,,,,,,,,
liegen,to lie (e.g. in Bed),,,,,,,,,,
dort,there (long form),,,,,,,,,,
vielleicht,perhaps,,,,,,,,,,
das heißt (d.h.),that is (i.e.),,,,,,,,,,
denken,to think,,,,,,,,,,
so genannt,so called,,,,,,,,,,
das Haus,house,,,,,,,,,,
die Frage nach,the question of,,,,,,,,,,
halten,"to stop, hold",,,,,,,,,,
möglichst,"as...as possible, if possible",,,,,,,,,,
gleich,"same, right away, just",,,,,,,,,,
möglich,possible,,,,,,,,,,
die Frage,question,,,,,,,,,,
nennen,"to name, call (n~)",,,,,,,,,,
tun,to do,,,,,,,,,,
sprechen,"to speak, talk (s~)",,,,,,,,,,
das Land,country,,,,,,,,,,
seit,"since, for",,,,,,,,,,
glauben,to believe,,,,,,,,,,
während,"1) during; 2) while, whereas",,,,,,,,,,
führen,to lead (f~),,,,,,,,,,
dazu,"in addition, furthermore, to that (d~)",,,,,,,,,,
solch,such (s~),,,,,,,,,,
auf die Frage,to the question,,,,,,,,,,
zeigen,to show (z~),,,,,,,,,,
mögen,to like,,,,,,,,,,
gar,at all,,,,,,,,,,
gar nicht,not at all (g~),,,,,,,,,,
dürfen,"to be allowed to, may",,,,,,,,,,
letzt,last,,,,,,,,,,
spät,late,,,,,,,,,,
später,later,,,,,,,,,,
etwa,"1) about, approximately; 2) perhaps",,,,,,,,,,
wichtig,important,,,,,,,,,,
auf jeden Fall,"at any rate, in any case (auf ~)",,,,,,,,,,
das Prozent,percent,,,,,,,,,,
die Leute,people,,,,,,,,,,
in jedem Fall,"at any rate, in any case (in ~)",,,,,,,,,,
gerade,"1) just, just now; 2) straight (g~)",,,,,,,,,,
der Fall,"fall, case (F~)",,,,,,,,,,
die Hand,hand,,,,,,,,,,
leben,to live (l~),,,,,,,,,,
die Arbeit,work,,,,,,,,,,
einige,"a few, some (e~)",,,,,,,,,,
fahren,"to drive, ride, go",,,,,,,,,,
zwar,"admittedly, to be precise",,,,,,,,,,
wer,"who, whoever",,,,,,,,,,
bringen,"to bring, take",,,,,,,,,,
in diesem Fall,in this case,,,,,,,,,,
meinen,"to mean, think, have an opinion (m~)",,,,,,,,,,
eigen,own,,,,,,,,,,
auf keinen Fall,"on no account, not at all",,,,,,,,,,
bereits,already (b~),,,,,,,,,,
schön,"beautiful, pleasant, good",,,,,,,,,,
fragen,to ask (f~),,,,,,,,,,
ein bisschen,"a bit, a little",,,,,,,,,,
jung,young,,,,,,,,,,
kennen,"to know (someone), be familiar with",,,,,,,,,,
spielen,to play,,,,,,,,,,
in die Stadt,to the city,,,,,,,,,,
"der Teil, das Teil",part,,,,,,,,,,
das Problem,problem (P~),,,,,,,,,,
der Herr,"man, Mr.",,,,,,,,,,
nie,never (short form),,,,,,,,,,
in die Hand,into one's own hands,,,,,,,,,,
in der Welt,in the world,,,,,,,,,,
die Stadt,"city, town",,,,,,,,,,
genau,exact (g~),,,,,,,,,,
weiter,additional (w~),,,,,,,,,,
vier,four,,,,,,,,,,
in der Stadt,in the city,,,,,,,,,,
darauf,"on it, to it (not 'daran')",,,,,,,,,,
zum Teil,in part,,,,,,,,,,
gelten,to be valid,,,,,,,,,,
kennen lernen,to get to know,,,,,,,,,,
in der Hand,in the hand,,,,,,,,,,
wirklich,"1) really, actually; 2) real, actual (w~)",,,,,,,,,,
die Welt,world,,,,,,,,,,
stellen,"to place, set (st~)",,,,,,,,,,
jedoch,however (j~),,,,,,,,,,
im Folgenden,in the following,,,,,,,,,,
das Ende,end,,,,,,,,,,
am Ende,at the end,,,,,,,,,,
kurz,short,,,,,,,,,,
arbeiten,to work,,,,,,,,,,
die Million,million,,,,,,,,,,
oft,often (short form),,,,,,,,,,
sowie,"as well as, as soon as",,,,,,,,,,
die Schule,school,,,,,,,,,,
folgen,to follow (f~),,,,,,,,,,
stark,strong (s~),,,,,,,,,,
in der Schule,at school,,,,,,,,,,
richtig,correct (r~),,,,,,,,,,
in der Woche,during the week,,,,,,,,,,
brauchen,to need,,,,,,,,,,
dafür,for it,,,,,,,,,,
recht,1) all right; 2) rather,,,,,,,,,,
bestehen,"to exist, insist, pass (an exam)",,,,,,,,,,
zu Ende,over (zu ~),,,,,,,,,,
das Recht,"right, law",,,,,,,,,,
lernen,to learn (l~),,,,,,,,,,
vor kurzem,recently (vor ~),,,,,,,,,,
die Woche,week,,,,,,,,,,
in die Schule,to school,,,,,,,,,,
denen,"whom, that",,,,,,,,,,
bekommen,"to get, receive (b~)",,,,,,,,,,
der Grund,"reason, basis (G~)",,,,,,,,,,
verschieden,"different, diverse (ver~)",,,,,,,,,,
bestimmt,"special, certain (b~)",,,,,,,,,,
allerdings,"though, indeed, certainly",,,,,,,,,,
sicher,"safe, secure, certain",,,,,,,,,,
dein,"your (informal, sing.)",,,,,,,,,,
fast,"almost, nearly (f~)",,,,,,,,,,
halt,"just, simply (h~)",,,,,,,,,,
das Leben,life,,,,,,,,,,
das Auge,eye,,,,,,,,,,
davon,"from it, about it, thereof",,,,,,,,,,
überhaupt,"at all, generally (ü~)",,,,,,,,,,
setzen,"to set, place, put (se~)",,,,,,,,,,
die Mutter,mother,,,,,,,,,,
besser,better,,,,,,,,,,
die Seite,"side, page",,,,,,,,,,
schnell,"fast, quick (s~)",,,,,,,,,,
wohl,1) well; 2) probably,,,,,,,,,,
verstehen,to understand,,,,,,,,,,
der Vater,father,,,,,,,,,,
auf der anderen Seite,"on the other hand, side",,,,,,,,,,
"gern, gerne","gladly, (with a verb) enjoy",,,,,,,,,,
sich setzen,to sit down,,,,,,,,,,
im Grunde genommen,basically (im ~),,,,,,,,,,
Art und Weise,manner (A~),,,,,,,,,,
nächst,next,,,,,,,,,,
versuchen,"to try, attempt (ver~)",,,,,,,,,,
Geld verdienen,to earn money,,,,,,,,,,
schreiben,to write,,,,,,,,,,
die Art,"type, kind (A~)",,,,,,,,,,
besonders,"particularly, especially (b~)",,,,,,,,,,
der Bereich,"area, region (B~)",,,,,,,,,,
erzählen,to tell (er~),,,,,,,,,,
politisch,political,,,,,,,,,,
"allein, alleine",alone,,,,,,,,,,
neben,"next to, beside",,,,,,,,,,
im Bereich,"in the area, in the field",,,,,,,,,,
beginnen,to begin (b~),,,,,,,,,,
erklären,to explain (erk~),,,,,,,,,,
laufen,to run (l~),,,,,,,,,,
der Weg,"path, way",,,,,,,,,,
das Geld,money,,,,,,,,,,
kaum,hardly,,,,,,,,,,
schwer,"difficult, heavy (not 'schwierig')",,,,,,,,,,
entsprechen,to correspond (e~),,,,,,,,,,
warum,why (wa~),,,,,,,,,,
klar,clear (k~),,,,,,,,,,
die Sache,thing (S~),,,,,,,,,,
das Wort,word,,,,,,,,,,
fünf,five,,,,,,,,,,
auf dem Weg,en route,,,,,,,,,,
ziehen,to pull,,,,,,,,,,
beziehungsweise (bzw.),"or, respectively",,,,,,,,,,
der Name,name,,,,,,,,,,
die Stunde,hour,,,,,,,,,,
eine halbe Stunde,half an hour,,,,,,,,,,
die Gesellschaft,"society, company",,,,,,,,,,
na,well (n~),,,,,,,,,,
darüber,"above it, about it",,,,,,,,,,
der Kopf,head,,,,,,,,,,
den Kopf schütteln,to shake one's head,,,,,,,,,,
auf den Weg,on the way (auf ~),,,,,,,,,,
sitzen,to sit,,,,,,,,,,
die Geschichte,"history, story",,,,,,,,,,
darüber hinaus,furthermore (d~),,,,,,,,,,
einzeln,individual (e~),,,,,,,,,,
wegen,because of,,,,,,,,,,
in der Geschichte,in the history,,,,,,,,,,
gehören,to belong (ge~),,,,,,,,,,
sogar,"even, in fact",,,,,,,,,,
deshalb,for that reason,,,,,,,,,,
scheinen,"to shine, seem, appear (s~)",,,,,,,,,,
fallen,to fall (f~),,,,,,,,,,
damals,"then, at that time (d~)",,,,,,,,,,
legen,"to lay, put",,,,,,,,,,
das Bild,picture,,,,,,,,,,
die Mark,mark (former unit of German currency),,,,,,,,,,
sonst,otherwise (s~),,,,,,,,,,
bekannt,well-known,,,,,,,,,,
das Paar,"pair, couple",,,,,,,,,,
hinter,behind,,,,,,,,,,
die Möglichkeit,possibility,,,,,,,,,,
weiter,further,,,,,,,,,,
leicht,"light, easy",,,,,,,,,,
die Stelle,place (S~),,,,,,,,,,
entstehen,"to originate, develop",,,,,,,,,,
das Unternehmen,"enterprise, company (U~)",,,,,,,,,,
das Buch,book,,,,,,,,,,
an dieser Stelle,in this place,,,,,,,,,,
und so weiter (usw.),and so on (etc.),,,,,,,,,,
ein paar,a few (ein p~),,,,,,,,,,
suchen,"to search, look for",,,,,,,,,,
treffen,to meet (t~),,,,,,,,,,
die Form,"form, shape",,,,,,,,,,
handeln,"to deal, trade (h~)",,,,,,,,,,
erhalten,to receive (er~),,,,,,,,,,
vorstellen,"to introduce, imagine (vor~)",,,,,,,,,,
daran,at it (not 'darauf'),,,,,,,,,,
das Wasser,water,,,,,,,,,,
erreichen,"to achieve, reach (err~)",,,,,,,,,,
tragen,"to carry, wear",,,,,,,,,,
der Sinn,"sense, meaning",,,,,,,,,,
die Familie,family,,,,,,,,,,
die Aufgabe,"task, assignment, job",,,,,,,,,,
Guten Morgen!,Good morning!,,,,,,,,,,
abends,in the evening,,,,,,,,,,
eher,"earlier, more likely (e~)",,,,,,,,,,
darin,"in it, inside",,,,,,,,,,
"an der Universität, an der Uni",at the university,,,,,,,,,,
"die Universität, die Uni",university,,,,,,,,,,
je,"1) ever, each; 2) the more",,,,,,,,,,
anders,differently,,,,,,,,,,
frei,free,,,,,,,,,,
der Abend,evening,,,,,,,,,,
schließlich,"in the end, finally (s~)",,,,,,,,,,
die Entwicklung,development,,,,,,,,,,
der Morgen,morning (M~),,,,,,,,,,
der Monat,month,,,,,,,,,,
je...desto,the...the,,,,,,,,,,
morgens,in the morning,,,,,,,,,,
rund,1) round; 2) approximately,,,,,,,,,,
zehn,ten,,,,,,,,,,
morgen,tomorrow,,,,,,,,,,
schaffen,"to manage, create",,,,,,,,,,
deutlich,clear (d~),,,,,,,,,,
vor allen Dingen,above all (long),,,,,,,,,,
die Nacht,night,,,,,,,,,,
obwohl,although,,,,,,,,,,
in diesem Sinne,"in this spirit, sense",,,,,,,,,,
die Person,person,,,,,,,,,,
in der Nacht,at night (in ~),,,,,,,,,,
das Ziel,"destination, goal",,,,,,,,,,
das Ding,thing (D~),,,,,,,,,,
daher,"from there, therefore",,,,,,,,,,
allgemein,general (a~),,,,,,,,,,
der Euro,euro (unit of currency),,,,,,,,,,
der Freund,friend,,,,,,,,,,
der Blick,"look, view, glance",,,,,,,,,,
gegenüber,opposite (prep.),,,,,,,,,,
im Sinne,according to (im ~),,,,,,,,,,
der Staat,state,,,,,,,,,,
lesen,to read,,,,,,,,,,
früh,early,,,,,,,,,,
nachts,at night (n~),,,,,,,,,,
schlecht,bad (not 'schlimm'),,,,,,,,,,
das Thema,"subject, topic, theme",,,,,,,,,,
unterschiedlich,"different, variable (u~)",,,,,,,,,,
der Raum,"room, space (R~)",,,,,,,,,,
verlieren,to lose,,,,,,,,,,
das System,system,,,,,,,,,,
der Platz,"place, room, square",,,,,,,,,,
mehrere,several,,,,,,,,,,
auf den ersten Blick,at first sight,,,,,,,,,,
darstellen,"to depict, portray (d~)",,,,,,,,,,
der Wert,value,,,,,,,,,,
zunächst,"first, at first, for now",,,,,,,,,,
die Uhr,"clock, watch, o'clock",,,,,,,,,,
die Zahl,number (Z~),,,,,,,,,,
früher,in former times,,,,,,,,,,
gemeinsam,"common, mutual",,,,,,,,,,
erkennen,"to recognize, admit (e~)",,,,,,,,,,
aussehen,"to appear, look (aus~)",,,,,,,,,,
mit Blick auf,with a view to,,,,,,,,,,
"nahe, nah","1) near, close; 2) near, close to",,,,,,,,,,
voll,full,,,,,,,,,,
einzig,"only, single",,,,,,,,,,
entwickeln,to develop (ent~),,,,,,,,,,
reden,"to speak, talk (r~)",,,,,,,,,,
die Minute,minute,,,,,,,,,,
auf der Straße,"on the street, on the road",,,,,,,,,,
die Straße,street,,,,,,,,,,
erscheinen,to appear (er~),,,,,,,,,,
die Gruppe,group,,,,,,,,,,
die Eltern,parents,,,,,,,,,,
der Anfang,beginning (A~),,,,,,,,,,
nämlich,"you see, namely",,,,,,,,,,
direkt,"direct, straight",,,,,,,,,,
