front,back,frequency,
네,yes,1,
있다,to exist;to have;to stay,2,
학교,school,3,
집,"house, home",4,
하다,to do,5,
먹다,to eat,6,
아니요,no,7,
책,book,8,
보다,"to see, to look at",9,
학생,student,10,
사람,"person, people",11,
가다,to go,12,
선생님,teacher,13,
저,I;that (over there),14,
이름,name,16,
한국,Korea,17,
공부하다,to study,18,
친구,friend,19,
물,water,20,
없다,to not exist;to not have,21,
시간,time; hours,22,
어디,where,23,
말하다,to speak,24,
그,that (before nouns),25,
여자,"woman, female",26,
예쁘다,"to be pretty, charming",27,
돈,money,28,
커피,coffee,29,
만나다,to meet,30,
책상,desk,31,
한국어,Korean (language),32,
오다,to come,33,
뭐,what,34,
남자,"man, male",35,
좋다,"to be good, be nice;to like",36,
오늘,today,37,
차,tea;car,38,
마시다,to drink,39,
아버지,father,40,
누구,who,41,
크다,to be big,42,
이,tooth;this,43,
카메라,camera,44,
주다,to give,45,
사랑,love,46,
영어,English (language),47,
읽다,to read,48,
밥,rice (cooked); meal,49,
이거,this thing,50,
감사하다,"to be thankful, thank, appreciate",51,
어머니,mother,52,
주스,juice,53,
듣다,"to listen, to hear",54,
가방,bag,55,
같이,together,56,
쓰다,to write;to use,57,
일,"work, matter;day",58,
미국,USA,59,
나쁘다,to be bad,60,
전화,telephone,61,
볼펜,ballpoint pen,62,
사다,to buy,63,
영화,movie,64,
노래,song,65,
사랑하다,to love,66,
진짜,"really, very;real thing",67,
우유,milk,68,
어렵다,"to be difficult, hard",69,
왜,why,70,
머리,head;hair,71,
알다,to know,72,
빨리,quickly,73,
사과,apple;apology,74,
자다,to sleep,75,
제,my,76,
월요일,Monday,77,
재미있다,"to be fun, interesting",78,
여기,here,79,
동생,younger sibling,80,
춥다,to be cold (regarding the weather),81,
일본,Japan,82,
옷,clothes,83,
노래하다,to sing,84,
그럼,"then, if so;that's right",85,
연필,pencil,86,
모르다,to not know,87,
어제,yesterday,88,
생각,"thought, idea",89,
살다,to live,90,
대학교,college,91,
방,a room,92,
앉다,"to sit, sit down",93,
화요일,Tuesday,94,
의자,chair,95,
운동하다,"to work out, to exercise",96,
날,"day, date;edge",97,
아침,"morning, breakfast",98,
물어보다,"to ask, question",99,
서울,Seoul,100,
요리,"cooking, dish",101,
놀다,"to hang out, to play",102,
맥주,beer,103,
잘,well,104,
길다,to be long,105,
이쪽,"this side, our side",106,
수요일,Wednesday,107,
비싸다,to be expensive,108,
문,door,109,
많이,"a lot, many, plenty",110,
맛있다,"to be delicious, tasty",111,
음악,music,112,
지금,now,113,
작다,to be small,114,
말,"words, language;horse",115,
사전,dictionary,116,
죄송하다,"to be sorry, feel guilty",117,
좀,a little;kindly;certainly,118,
가게,"shop, store",119,
입다,to wear,120,
김밥,Korean dried seaweed rice rolls,121,
언제,when,122,
요리하다,to cook,123,
질문,question,124,
눈,eye;snow,125,
아프다,"to be sick;to hurt, ache",126,
청소,cleaning,127,
내일,tomorrow,128,
쉽다,to be easy,129,
술,alcoholic drink,130,
저기,over there,131,
이야기하다,to talk,132,
숙제,homework,133,
어떻게,how,134,
시작하다,"to start, begin",135,
년,year,136,
그리고,and,137,
아니다,to not be,138,
목요일,Thursday,139,
피자,pizza,140,
찾다,to look for;to find;to withdraw (money),141,
끝,end,142,
자동차,car,143,
청소하다,"to clean up, to vacuum",144,
오빠,older brother (of a female),145,
다음,"the next, the following",146,
바쁘다,to be busy,147,
회사,"company, corporation",148,
번,"time (first, second...)",149,
만들다,to make,150,
바지,pants,151,
저녁,evening;dinner,152,
타다,"to ride, get in;to burn, be tanned",153,
버스,bus,154,
개,dog;thing (count.),155,
다니다,"to go (frequently),to attend, work for",156,
구두,dress shoes,157,
치즈,cheese,158,
일어나다,"to wake up, get up;to happen",159,
중국,China,160,
비,rain;broom,161,
맞다,"to be correct;to be hit, struck",162,
금요일,Friday,163,
자주,often,164,
쉬다,"to rest, take a rest",165,
형,"a man's older brother;type, style;punishment",166,
컴퓨터,computer,167,
날씨,weather,168,
끝나다,"to end, be over",169,
감자,potato,170,
더,more,171,
싸다,"to be inexpensive, cheap;to wrap up, pack",172,
은행,bank,173,
혼자,alone,174,
기다리다,to wait,175,
배,pear;stomach;boat,176,
아이,child,177,
그렇다,to be so (like that),178,
나라,"country, nation",179,
셔츠,shirt,180,
일하다,to work,181,
가족,family,182,
안녕히,peacefully;safely,183,
배우다,to learn,184,
공책,notebook,185,
쪽,"side, direction;page",186,
싫다,"to be unlikable, to not like",187,
독일,Germany,188,
텔레비전,TV,189,
다르다,to be different,190,
이번,this time,191,
공원,park,192,
돕다,to help,193,
얼마,how much (money),194,
여행,"trip, travel",195,
늦다,to be late,196,
다,all,197,
바나나,banana,198,
피곤하다,to be tired,199,
요일,day of the week,200,
거기,there,201,
도착하다,to arrive,202,
도서관,library,203,
너무,too (much),204,
받다,"to receive, accept;to take",205,
딸,daughter,206,
그래서,therefore,207,
보이다,"to be visible;to show, display",208,
토요일,Saturday,209,
생일,birthday,210,
좋아하다,to like,211,
부모님,parents,212,
밤,night,213,
생각하다,to think,214,
문제,"problem, question",215,
이쪽으로,"this way, over here",216,
사진,"picture, photo",217,
재미없다,"to be boring, dull",218,
아이스크림,ice cream,219,
점심,lunch; afternoon,220,
앞,the front,221,
전화하다,to make a phone call,222,
프랑스,France,223,
일요일,Sunday,224,
치마,skirt,225,
부르다,"to call, to call out",226,
고양이,cat,227,
시험,"exam, test",228,
여러분,"everyone, ladies and gentlemen",229,
멀다,to be far,230,
아들,son,231,
시,"poem;time, hour;o'clock",232,
수업,"class, instruction",233,
나오다,to come out,234,
우리,we (informal),235,
빵,bread,236,
화장실,"toilet, bathroom",237,
수영하다,to swim,238,
무슨,which/what (+ noun),239,
오렌지,orange,240,
죽다,to die,241,
병원,hospital,242,
정말,"really, seriously",243,
선물,"present, gift",244,
되다,"to become, get, turn into",245,
새,new;bird,246,
약속,appointment;promise,247,
웃다,"to laugh, smile",248,
매일,every day,249,
클래스,class,250,
